pair_id,image1,image2,label
pair_00000,m.0_1f7bq/7.jpg,m.0_1f7bq/3.jpg,1
pair_00001,m.085hvm/2.jpg,m.01trcnk/3.jpg,0
pair_00002,m.0h64zn7/8.jpg,m.06s9sd/4.jpg,0
pair_00003,m.03d717x/7.jpg,m.047tljm/7.jpg,0
pair_00004,m.0y5t7sq/8.jpg,m.0t_9vqq/4.jpg,0
pair_00005,m.0y5t7sq/9.jpg,m.0577kk/2.jpg,0
pair_00006,m.03f6m5j/2.jpg,m.03f6m5j/7.jpg,1
pair_00007,m.047tn67/0.jpg,m.03f6m5j/5.jpg,0
pair_00008,m.0bxz963/9.jpg,m.0bxz963/5.jpg,1
pair_00009,m.03d717x/7.jpg,m.03d717x/4.jpg,1
pair_00010,m.054qb7/2.jpg,m.054qb7/5.jpg,1
pair_00011,m.0h3ty20/9.jpg,m.06zs25m/2.jpg,0
pair_00012,m.09gq8kg/11.jpg,m.0r4v2lg/11.jpg,0
pair_00013,m.0cm8h85/4.jpg,m.0cm8h85/8.jpg,1
pair_00014,m.01w5tp/4.jpg,m.01w5tp/11.jpg,1
pair_00015,m.0gcy12m/4.jpg,m.0gcy12m/8.jpg,1
pair_00016,m.09pt2s/0.jpg,m.01p_c_g/0.jpg,0
pair_00017,m.0bhgmnj/3.jpg,m.0bhgmnj/5.jpg,1
pair_00018,m.03v2lz/1.jpg,m.03f1ry2/1.jpg,0
pair_00019,m.0wsx66j/9.jpg,m.0wsx66j/11.jpg,1
pair_00020,m.0fqmy0h/8.jpg,m.0fqmy0h/1.jpg,1
pair_00021,m.01n16__/0.jpg,m.08p9gg/10.jpg,0
pair_00022,m.0wsx66j/1.jpg,m.0cm8h85/1.jpg,0
pair_00023,m.04lhp0s/5.jpg,m.04lhp0s/6.jpg,1
pair_00024,m.0t_9vqq/4.jpg,m.0t_9vqq/7.jpg,1
pair_00025,m.0x1nr22/10.jpg,m.0x1nr22/2.jpg,1
pair_00026,m.0qscvd0/10.jpg,m.0qscvd0/2.jpg,1
pair_00027,m.01ql5j/0.jpg,m.01trcnk/6.jpg,0
